frame,sim_time,phase,gripper_cmd,target_left,target_right,ctrl_left,ctrl_right,qpos_left,qpos_right,qvel_left,qvel_right
0,0.016666666666666666,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.09418995358069689,0.09418995358069689
1,0.03333333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.3452347760713529,0.3452347760713529
2,0.05,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.8595696827870696,0.8595696827870696
3,0.06666666666666667,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,2.010882246885577,2.010882246885577
4,0.08333333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,3.5433305356146096,3.5433305356146096
5,0.09999999999999999,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,5.318532214506118,5.318532214506118
6,0.11666666666666665,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,7.1795800432760455,7.1795800432760455
7,0.13333333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.723346200117533,8.723346200117533
8,0.15,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.367366078237204,8.367366078237204
9,0.16666666666666666,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,9.008070000610235,9.008070000610235
10,0.18333333333333332,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.489525446663912,8.489525446663912
11,0.19999999999999998,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.985722973424648,8.985722973424648
12,0.21666666666666665,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.51101304099399,8.51101304099399
13,0.2333333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.940595869285943,8.940595869285943
14,0.24999999999999997,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.518154507305272,8.518154507305272
15,0.26666666666666666,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.897079504552547,8.897079504552547
16,0.2833333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.519400414012237,8.519400414012237
17,0.3,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.855474192963246,8.855474192963246
18,0.31666666666666665,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.518092974791044,8.518092974791044
19,0.3333333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.815423863524714,8.815423863524714
20,0.35,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.513938057734835,8.513938057734835
21,0.36666666666666664,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.776142273463961,8.776142273463961
22,0.3833333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.508490814111951,8.508490814111951
23,0.39999999999999997,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.737201246496028,8.737201246496028
24,0.41666666666666663,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.499510768118052,8.499510768118052
25,0.4333333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.698261619852065,8.698261619852065
26,0.44999999999999996,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.486720942319106,8.486720942319106
27,0.4666666666666666,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.659516163140406,8.659516163140406
28,0.4833333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.47103984199298,8.47103984199298
29,0.49999999999999994,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.621256960555957,8.621256960555957
30,0.5166666666666666,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.453200915953465,8.453200915953465
31,0.5333333333333333,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.583729303104885,8.583729303104885
32,0.55,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.433787416888393,8.433787416888393
33,0.5666666666666668,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.547125168794253,8.547125168794253
34,0.5833333333333335,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.413293126002383,8.413293126002383
35,0.6000000000000002,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.503503646460945,8.503503646460945
36,0.6166666666666669,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.39727380154692,8.39727380154692
37,0.6333333333333336,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.461530937439285,8.461530937439285
38,0.6500000000000004,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.382053183225016,8.382053183225016
39,0.6666666666666671,approach,0.0,0.04,0.04,0.04,0.04,0.04,0.04,8.421226982140208,8.421226982140208
