time_s,delta_pos_x,delta_pos_y,delta_pos_z,delta_rot_x,delta_rot_y,delta_rot_z,gripper
0.000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
0.100,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
0.200,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
0.301,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
0.401,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
0.501,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
0.601,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
0.701,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
0.802,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
0.902,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.002,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.102,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.202,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.303,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.403,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.503,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.603,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.703,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.803,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
1.903,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
2.004,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
2.104,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
2.204,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
2.304,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
2.404,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
2.504,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0
2.604,0.0017050,0.0012370,-0.0020066,0.0229329,0.0099166,-0.0229803,0.0
2.705,-0.0004620,-0.0000350,0.0015961,-0.0014625,-0.0040419,-0.0112166,0.0
2.805,-0.0012700,-0.0014520,-0.0008504,-0.0039763,-0.0055868,-0.0052061,0.0
2.905,-0.0010740,-0.0001810,0.0007681,0.0048001,0.0016177,0.0103657,0.0
3.005,0.0006150,0.0006190,0.0010798,0.0131939,0.0052384,0.0359460,0.0
3.105,-0.0024100,-0.0002250,-0.0005559,0.0729914,0.0265843,0.1303353,0.0
3.206,-0.0035670,-0.0019000,0.0009235,0.0686946,0.0308040,0.1393632,0.0
3.306,-0.0007840,-0.0023380,0.0035907,0.0687388,0.0167659,0.1112471,0.0
3.406,-0.0006240,-0.0033140,0.0037493,0.0766826,0.0217631,0.1295195,0.0
3.506,-0.0014200,-0.0036030,0.0048020,0.0768732,0.0083679,0.1026320,0.0
3.606,-0.0008940,-0.0031250,0.0033581,0.0646386,0.0235148,0.1099408,0.0
3.706,-0.0009660,-0.0045240,0.0024915,0.0804714,0.0293653,0.1127739,0.0
3.807,0.0001910,-0.0017160,0.0013196,0.0441905,0.0078189,0.0890759,0.0
3.907,0.0006380,-0.0016810,0.0009907,0.0399134,0.0080110,0.0923828,0.0
4.007,0.0012330,-0.0012240,0.0014758,0.0457860,0.0075338,0.1022303,0.0
4.107,0.0012450,0.0002340,0.0040834,0.0467208,0.0071473,0.0895653,0.0
4.207,-0.0009550,-0.0006860,0.0052901,0.0569517,-0.0267874,0.0685677,0.0
4.307,-0.0083990,-0.0009740,0.0006783,0.0392491,-0.0319843,0.0373127,0.0
4.407,-0.0050680,0.0014290,0.0003158,-0.0312685,0.0131169,-0.0358635,0.0
4.508,-0.0007110,0.0004640,-0.0022645,-0.0121925,-0.0082204,-0.0518109,0.0
4.608,-0.0028150,0.0041270,-0.0059147,-0.0677205,0.0026263,-0.1271656,0.0
4.708,0.0030980,0.0040520,-0.0033120,-0.0656091,0.0091947,-0.1447734,0.0
4.808,0.0044660,0.0015530,-0.0001074,-0.0656971,-0.0355071,-0.1229016,0.0
4.908,0.0011790,0.0008600,0.0001706,-0.0561715,-0.0219488,-0.1097828,0.0
5.008,0.0011860,0.0013670,0.0013675,-0.0693969,-0.0165759,-0.1060525,0.0
5.108,0.0007960,0.0011920,0.0005395,-0.0663479,-0.0199274,-0.1059242,0.0
5.208,-0.0001590,0.0022320,-0.0013278,-0.0690095,-0.0183999,-0.1162641,0.0
5.308,-0.0005830,0.0025110,0.0011878,-0.0794587,-0.0317570,-0.1164739,0.0
5.408,0.0010370,0.0022150,0.0000407,-0.0601488,-0.0236663,-0.1027583,0.0
5.509,0.0015790,0.0019300,0.0005819,-0.0610163,-0.0110921,-0.1089872,0.0
5.609,0.0019460,0.0005380,0.0011746,-0.0679318,-0.0237358,-0.1234218,0.0
5.709,0.0021160,0.0004370,-0.0003202,-0.0669282,-0.0305724,-0.1133860,0.0
5.809,0.0018710,-0.0003850,-0.0003799,-0.0637810,-0.0213132,-0.1359691,0.0
5.909,0.0008720,-0.0014720,0.0002214,-0.0593107,-0.0243614,-0.1132823,0.0
6.010,0.0003940,0.0000610,0.0004396,-0.0721451,-0.0313549,-0.0922852,0.0
6.110,-0.0016570,0.0003000,0.0019919,-0.0526966,-0.0415992,-0.0863522,0.0
6.210,-0.0030510,-0.0002140,0.0033929,-0.0477440,-0.0572526,-0.0981499,0.0
6.310,-0.0019500,-0.0010330,0.0023861,-0.0398710,-0.0441122,-0.0777973,0.0
6.410,0.0047840,-0.0021690,0.0000031,-0.0753010,-0.0601511,-0.1104224,0.0
6.510,0.0055730,-0.0034000,-0.0013198,-0.0682670,-0.0480517,-0.0753781,0.0
6.611,0.0007850,-0.0028820,-0.0000329,-0.0227397,-0.0096476,-0.0479564,0.0
6.711,-0.0008480,-0.0011200,0.0010070,0.0182507,0.0244659,0.0040250,0.0
6.811,-0.0014010,0.0010310,0.0017180,0.0385232,0.0307024,0.0504535,0.0
6.911,-0.0021080,0.0023230,0.0002580,0.0770197,0.0665142,0.1124262,0.0
7.011,-0.0005020,0.0021150,-0.0009396,0.1061212,0.0571559,0.1781103,0.0
7.111,0.0008450,0.0044070,-0.0034793,0.0461931,0.0282242,0.1574203,0.0
7.212,0.0015600,0.0011520,-0.0056123,0.0473706,0.0352091,0.0779090,0.0
7.312,-0.0008090,-0.0005150,-0.0012008,0.0688692,0.0355535,0.1187737,0.0
7.412,-0.0021270,0.0021950,0.0001484,0.0164035,-0.0143466,0.0965165,0.0
7.512,-0.0022780,0.0033585,-0.0007701,-0.0095820,-0.0364732,0.0371472,0.0
7.612,-0.0028320,0.0005249,0.0008768,0.0545717,0.0096554,0.0372544,0.0
7.712,-0.0000790,-0.0006753,0.0006625,0.0765485,0.0737968,0.0795396,0.0
7.812,0.0005570,0.0010745,-0.0019782,0.0368506,0.0980891,0.1197657,0.0
7.912,-0.0016150,0.0002924,-0.0013376,0.0077361,0.0130045,0.0238660,0.0
8.013,0.0000300,0.0009656,-0.0009979,-0.0145843,-0.0042131,-0.0184867,0.0
8.113,0.0000060,0.0004646,-0.0006215,-0.0068018,-0.0023027,-0.0130709,0.0
8.213,-0.0008790,0.0004418,-0.0004007,-0.0036355,-0.0145206,-0.0078598,0.0
8.313,-0.0000360,0.0010268,-0.0002589,-0.0055585,0.0068831,-0.0048143,0.0
8.413,-0.0000420,0.0008904,0.0002813,0.0064270,0.0154226,0.0112399,0.0
8.513,0.0007680,0.0005459,0.0011496,0.0036524,0.0324667,-0.0034803,0.0
8.613,0.0021310,0.0003334,0.0005045,0.0024819,0.0746254,-0.0016817,0.0
8.714,0.0023040,-0.0012246,0.0001699,0.0123551,0.0803210,0.0071279,0.0
8.814,0.0022210,-0.0011775,-0.0010322,-0.0058689,0.0831109,0.0160675,0.0
8.914,0.0034460,-0.0028624,0.0003070,0.0018407,0.0940710,0.0395927,0.0
9.014,0.0035090,-0.0042870,-0.0001373,0.0049912,0.1144991,0.0365857,0.0
9.114,0.0019510,-0.0038280,-0.0029160,-0.0097998,0.0832348,0.0255450,0.0
