frame,sim_time,input_delta_pos_x,input_delta_pos_y,input_delta_pos_z,input_delta_rot_x,input_delta_rot_y,input_delta_rot_z,input_gripper,ee_pos_x,ee_pos_y,ee_pos_z,ee_quat_x,ee_quat_y,ee_quat_z,ee_quat_w,ee_body_ang_vel_x,ee_body_ang_vel_y,ee_body_ang_vel_z,ee_body_lin_vel_x,ee_body_lin_vel_y,ee_body_lin_vel_z,gripper_pos,ee_target_pos_x,ee_target_pos_y,ee_target_pos_z,ee_target_quat_x,ee_target_quat_y,ee_target_quat_z,ee_target_quat_w,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_target_q_0,joint_target_q_1,joint_target_q_2,joint_target_q_3,joint_target_q_4,joint_target_q_5,joint_target_q_6,joint_target_q_7
0,0.016667,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054509,-0.520520,0.630630,0.921992,-0.384766,-0.016904,-0.039996,-0.095235,-1.122165,-0.208227,5.211709,-0.141339,-0.328025,0.040000,0.054499,-0.500000,0.422002,0.998750,0.000049,0.000002,-0.049979,-0.018549,0.000906,-0.018484,-1.571136,0.086811,1.568433,0.753711,0.023355,-0.018874,0.000805,-0.018870,-1.571679,0.099944,1.568708,0.747576,0.040000
1,0.033333,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054529,-0.541132,0.627564,0.918733,-0.383816,-0.036052,-0.085537,-0.104422,-1.100977,-0.345277,5.943911,-0.202347,-0.063715,0.040000,0.054499,-0.500000,0.422002,0.995004,0.000049,0.000005,-0.099833,-0.037292,0.003336,-0.037074,-1.573716,0.185480,1.562626,0.717268,0.031458,-0.037706,0.003233,-0.037562,-1.574316,0.199554,1.562473,0.710189,0.040000
2,0.050000,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054540,-0.561444,0.622444,0.913273,-0.381592,-0.055228,-0.131413,-0.112706,-1.066754,-0.449041,6.012090,-0.222761,-0.036310,0.040000,0.054499,-0.500000,0.422002,0.988771,0.000049,0.000007,-0.149438,-0.056058,0.007328,-0.055369,-1.578151,0.284628,1.552915,0.680590,0.034365,-0.056492,0.007242,-0.055847,-1.578771,0.298508,1.552195,0.673467,0.040000
3,0.066667,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054547,-0.581168,0.615319,0.905542,-0.378364,-0.074247,-0.176979,-0.120037,-1.020852,-0.546991,6.015089,-0.225358,-0.040603,0.040000,0.054499,-0.500000,0.422002,0.980067,0.000048,0.000010,-0.198669,-0.074765,0.012863,-0.073065,-1.584451,0.382859,1.539310,0.644685,0.035427,-0.075214,0.012796,-0.073500,-1.585091,0.396501,1.538023,0.637712,0.040000
4,0.083333,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054553,-0.600092,0.606256,0.895546,-0.374179,-0.093071,-0.222091,-0.127115,-0.966320,-0.641178,6.014931,-0.223810,-0.049922,0.040000,0.054499,-0.500000,0.422002,0.968912,0.000048,0.000012,-0.247404,-0.093367,0.019887,-0.089920,-1.592677,0.479850,1.521984,0.609943,0.035827,-0.093838,0.019836,-0.090298,-1.593342,0.493258,1.520157,0.603199,0.040000
5,0.100000,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054557,-0.618020,0.595346,0.883308,-0.369052,-0.111657,-0.266648,-0.134226,-0.903737,-0.731299,6.015658,-0.220863,-0.060317,0.040000,0.054499,-0.500000,0.422002,0.955336,0.000047,0.000015,-0.295520,-0.111807,0.028331,-0.105711,-1.602892,0.575378,1.501173,0.576626,0.035990,-0.112306,0.028293,-0.106023,-1.603592,0.588541,1.498840,0.570161,0.040000
6,0.116667,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054559,-0.634770,0.582696,0.868854,-0.362995,-0.129960,-0.310543,-0.141491,-0.833304,-0.816739,6.016449,-0.216766,-0.071189,0.040000,0.054499,-0.500000,0.422002,0.939373,0.000046,0.000017,-0.342898,-0.130008,0.038114,-0.120227,-1.615148,0.669256,1.477139,0.544939,0.036067,-0.130539,0.038085,-0.120466,-1.615893,0.682156,1.474342,0.538796,0.040000
7,0.133333,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054560,-0.650172,0.568434,0.852221,-0.356026,-0.147935,-0.353666,-0.148958,-0.755125,-0.896791,6.016697,-0.211371,-0.082318,0.040000,0.054499,-0.500000,0.422002,0.921061,0.000045,0.000019,-0.389418,-0.147872,0.049147,-0.133268,-1.629473,0.761337,1.450166,0.515047,0.036115,-0.148438,0.049123,-0.133428,-1.630273,0.773956,1.446948,0.509259,0.040000
8,0.150000,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054561,-0.664073,0.552703,0.833450,-0.348161,-0.165535,-0.395909,-0.156665,-0.669387,-0.970632,6.016184,-0.204585,-0.093448,0.040000,0.054499,-0.500000,0.422002,0.900447,0.000044,0.000021,-0.434966,-0.165292,0.061336,-0.144654,-1.645868,0.851521,1.420541,0.487079,0.036155,-0.165892,0.061313,-0.144730,-1.646733,0.863850,1.416947,0.481670,0.040000
9,0.166667,0.0000000,0.0000000,0.0000000,0.1000000,0.0000000,0.0000000,0.0,0.054560,-0.676331,0.535661,0.812586,-0.339422,-0.182715,-0.437164,-0.164566,-0.576402,-1.037371,6.014759,-0.196362,-0.104328,0.040000,0.054499,-0.500000,0.422002,0.877583,0.000043,0.000024,-0.479426,-0.182147,0.074583,-0.154219,-1.664298,0.939766,1.388553,0.461127,0.036192,-0.182781,0.074558,-0.154207,-1.665235,0.951803,1.384626,0.456117,0.040000
